ADM2_EN,ADM2_PCODE,ADM2_REF,ADM2ALT1_EN,ADM2ALT2_EN,ADM1_EN,ADM1_PCODE,ADM0_EN,ADM0_PCODE,DATE,VALIDON,VALID_TO,District,DISTRICT_PCODE,AREA_SQKM
Aamchowk,NP0110406,,,,1,NP01,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Bhojpur,NP0110,184.3151188
Aandhikhola,NP0441401,,,,4,NP04,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Syangja,NP0441,69.62902038
Aarughat,NP0436406,,,,4,NP04,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Gorkha,NP0436,160.800502
Aathabis,NP0661301,,,,6,NP06,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Dailekh,NP0661,167.7844157
Aathbiskot,NP0652301,,,,6,NP06,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Rukum West,NP0652,560.1677902
Aathrai,NP0108403,,,,1,NP01,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Terhathum,NP0108,166.5604057
Aathrai Tribeni,NP0101406,,,,1,NP01,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Taplejung,NP0101,88.56467718
Aaurahi,NP0217403,,,,2,NP02,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Dhanusha,NP0217,25.53531239
Adanchuli,NP0666407,,,,6,NP06,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Humla,NP0666,150.4854802
Adarshkotwal,NP0233409,,,,2,NP02,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Bara,NP0233,36.24423381
Adharsha,NP0770401,,,,7,NP07,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Doti,NP0770,128.2057731
Agnisair Krishna Savaran,NP0215402,,,,2,NP02,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Saptari,NP0215,102.9040445
Ainselukhark,NP0112401,,,,1,NP01,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Khotang,NP0112,125.1814215
Ajaymeru,NP0773402,,,,7,NP07,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Dadeldhura,NP0773,148.5155632
Ajirkot,NP0436402,,,,4,NP04,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Gorkha,NP0436,198.0705563
Alital,NP0773404,,,,7,NP07,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Dadeldhura,NP0773,292.1051711
Amargadhi,NP0773302,,,,7,NP07,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Dadeldhura,NP0773,138.9772041
Anbukhaireni,NP0440405,,,,4,NP04,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Tanahu,NP0440,128.0178754
Annapurna,NP0439401,,,,4,NP04,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Kaski,NP0439,417.8219676
Annapurna,NP0444403,,,,4,NP04,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Myagdi,NP0444,556.5249206
Apihimal,NP0775403,,,,7,NP07,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Darchula,NP0775,612.7228973
Arjunchaupari,NP0441403,,,,4,NP04,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Syangja,NP0441,57.22998877
